customer_tweet_id,true_intent
100000,fare_billing_dispute
100002,feedback_praise
100004,driver_behavior
100006,driver_behavior
100008,account_access
100010,trip_cancellation
100013,lost_item
100016,other
100018,account_access
100021,lost_item
100024,driver_behavior
100027,fare_billing_dispute
100029,trip_cancellation
100031,account_access
100033,lost_item
100036,account_access
100038,driver_behavior
100040,account_access
100043,lost_item
100045,driver_behavior
100048,feedback_praise
100051,fare_billing_dispute
100053,trip_cancellation
100056,trip_cancellation
100058,fare_billing_dispute
100060,trip_cancellation
100063,driver_behavior
100065,other
100067,refund_request
100070,fare_billing_dispute
100072,account_access
100074,account_access
100076,lost_item
100078,lost_item
100081,refund_request
100083,fare_billing_dispute
100086,account_access
100089,fare_billing_dispute
100091,other
100094,account_access
100096,refund_request
100098,refund_request
100101,account_access
100103,fare_billing_dispute
100105,driver_behavior
100107,account_access
100110,safety_incident
100113,lost_item
100115,account_access
100118,driver_behavior
100121,trip_cancellation
100124,fare_billing_dispute
100126,safety_incident
100129,account_access
100131,lost_item
100134,lost_item
100137,driver_behavior
100139,refund_request
100141,feedback_praise
100143,driver_behavior
100146,refund_request
100149,account_access
100151,other
100154,account_access
100156,fare_billing_dispute
100159,fare_billing_dispute
100161,fare_billing_dispute
100163,account_access
100166,other
100168,account_access
100170,driver_behavior
100173,fare_billing_dispute
100176,fare_billing_dispute
100179,driver_behavior
100181,trip_cancellation
100184,account_access
100186,trip_cancellation
100188,driver_behavior
100191,driver_behavior
100194,account_access
100197,fare_billing_dispute
100199,account_access
100202,lost_item
100204,account_access
100206,fare_billing_dispute
100208,lost_item
100211,fare_billing_dispute
100213,other
100216,trip_cancellation
100218,driver_behavior
100221,trip_cancellation
100224,trip_cancellation
100227,fare_billing_dispute
100229,driver_behavior
100231,fare_billing_dispute
100233,refund_request
100236,fare_billing_dispute
100239,other
100241,account_access
100243,fare_billing_dispute
100246,lost_item
100248,refund_request
100251,other
100253,account_access
100255,account_access
100257,driver_behavior
100259,account_access
100262,refund_request
100265,other
100267,trip_cancellation
100269,trip_cancellation
100272,driver_behavior
100274,account_access
100277,trip_cancellation
100279,feedback_praise
100282,trip_cancellation
100285,refund_request
100288,lost_item
100290,feedback_praise
100293,other
100296,feedback_praise
100299,fare_billing_dispute
100302,refund_request
100304,account_access
100307,driver_behavior
100309,fare_billing_dispute
100312,account_access
100315,fare_billing_dispute
100318,driver_behavior
100320,other
100323,driver_behavior
100325,other
100328,fare_billing_dispute
100330,refund_request
100332,driver_behavior
100334,lost_item
100336,feedback_praise
100338,trip_cancellation
100341,feedback_praise
100344,other
100346,driver_behavior
100349,driver_behavior
100352,refund_request
100354,driver_behavior
100356,safety_incident
100358,account_access
100361,lost_item
100363,other
100365,account_access
100368,fare_billing_dispute
100371,account_access
100373,refund_request
100376,fare_billing_dispute
100378,account_access
100380,driver_behavior
100383,fare_billing_dispute
100386,safety_incident
100388,account_access
100391,trip_cancellation
100394,trip_cancellation
100397,feedback_praise
100399,trip_cancellation
100402,other
100405,safety_incident
100408,other
100411,fare_billing_dispute
100413,refund_request
100415,other
100417,fare_billing_dispute
100419,feedback_praise
100422,fare_billing_dispute
100424,fare_billing_dispute
100426,lost_item
100428,driver_behavior
100430,driver_behavior
100432,trip_cancellation
100435,account_access
100437,lost_item
100439,trip_cancellation
100442,fare_billing_dispute
100444,refund_request
100447,trip_cancellation
100449,driver_behavior
100452,refund_request
100455,fare_billing_dispute
100457,other
100459,trip_cancellation
100461,lost_item
100464,driver_behavior
100466,fare_billing_dispute
100468,account_access
100471,trip_cancellation
100474,trip_cancellation
100477,refund_request
100479,safety_incident
100482,refund_request
100485,feedback_praise
100487,lost_item
100489,account_access
100491,driver_behavior
100494,fare_billing_dispute
100496,trip_cancellation
100498,trip_cancellation
100500,safety_incident
100503,account_access
100506,lost_item
100509,account_access
100511,fare_billing_dispute
100514,refund_request
100516,account_access
100519,driver_behavior
100521,driver_behavior
100523,other
100525,trip_cancellation
100527,driver_behavior
100529,fare_billing_dispute
100531,account_access
100533,other
100536,refund_request
100539,trip_cancellation
100541,feedback_praise
100544,account_access
100547,safety_incident
100549,lost_item
100551,feedback_praise
100553,lost_item
100556,refund_request
100558,account_access
100561,account_access
100564,refund_request
100566,lost_item
100568,feedback_praise
100570,other
100573,account_access
100576,feedback_praise
100579,safety_incident
100582,fare_billing_dispute
100584,lost_item
100586,fare_billing_dispute
100588,refund_request
100591,feedback_praise
100594,lost_item
100596,driver_behavior
100598,account_access
100600,account_access
100603,trip_cancellation
100605,fare_billing_dispute
100608,lost_item
100610,other
100612,refund_request
100614,driver_behavior
100617,lost_item
100619,account_access
100621,driver_behavior
100624,lost_item
100626,account_access
100629,safety_incident
100631,lost_item
100634,lost_item
100636,fare_billing_dispute
